,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
165,Brooklyn,250,2,80,Medium,0
168,Brooklyn,165,2,150,Medium,342
172,Brooklyn,150,2,193,Medium,177
173,Manhattan,125,1,84,Medium,310
174,Manhattan,196,3,114,Medium,0
175,Brooklyn,110,2,213,Medium,321
176,Manhattan,170,3,86,Medium,246
177,Manhattan,165,3,80,Medium,231
178,Manhattan,150,26,38,Medium,225
183,Brooklyn,200,4,33,Medium,1
184,Brooklyn,150,5,52,Medium,18
186,Brooklyn,120,3,51,Medium,250
188,Brooklyn,175,26,30,Medium,364
190,Manhattan,275,1,41,Medium,299
191,Manhattan,299,2,109,Medium,207
192,Brooklyn,135,5,151,Medium,162
195,Manhattan,123,1,375,Medium,328
201,Queens,265,7,38,Medium,365
202,Brooklyn,249,2,358,Medium,164
206,Manhattan,121,1,104,Medium,247
209,Brooklyn,140,2,253,Medium,125
211,Manhattan,130,2,115,Medium,75
212,Manhattan,199,5,129,Medium,286
215,Manhattan,130,1,204,Medium,192
216,Brooklyn,195,2,69,Medium,58
218,Queens,140,2,17,Medium,292
219,Brooklyn,159,2,222,Medium,279
220,Manhattan,189,3,205,Medium,0
221,Manhattan,250,3,94,Medium,3
223,Manhattan,305,2,108,High,201
224,Manhattan,155,3,222,Medium,232
226,Brooklyn,135,2,21,Medium,272
227,Manhattan,120,7,17,Medium,341
228,Manhattan,150,3,41,Medium,244
230,Brooklyn,135,2,69,Medium,12
231,Manhattan,250,4,18,Medium,265
232,Manhattan,250,30,82,Medium,0
233,Manhattan,500,4,94,High,329
235,Manhattan,125,28,183,Medium,365
240,Manhattan,140,3,135,Medium,192
241,Manhattan,135,2,21,Medium,0
242,Manhattan,500,2,35,High,348
244,Manhattan,120,4,171,Medium,353
245,Manhattan,110,200,92,Medium,140
247,Manhattan,130,50,56,Medium,56
252,Manhattan,175,3,185,Medium,326
253,Manhattan,205,9,62,Medium,76
254,Brooklyn,285,3,124,Medium,279
261,Bronx,105,2,38,Medium,365
262,Brooklyn,135,2,248,Medium,11
263,Manhattan,390,5,143,High,316
270,Brooklyn,110,6,50,Medium,0
274,Manhattan,115,2,210,Medium,261
278,Brooklyn,130,10,49,Medium,152
281,Brooklyn,175,2,11,Medium,246
282,Brooklyn,190,3,51,Medium,288
284,Manhattan,212,3,67,Medium,51
287,Manhattan,135,6,187,Medium,189
288,Brooklyn,150,2,214,Medium,263
289,Brooklyn,190,3,69,Medium,258
290,Manhattan,124,28,22,Medium,103
291,Brooklyn,135,30,56,Medium,42
292,Manhattan,122,3,93,Medium,246
293,Manhattan,109,1,104,Medium,364
295,Brooklyn,145,3,127,Medium,72
296,Manhattan,195,11,30,Medium,249
297,Brooklyn,250,2,106,Medium,272
299,Manhattan,575,2,191,High,298
300,Manhattan,150,30,48,Medium,35
304,Manhattan,500,2,48,High,297
305,Manhattan,250,3,32,Medium,276
306,Manhattan,125,25,43,Medium,102
307,Manhattan,200,30,39,Medium,251
308,Brooklyn,229,1,50,Medium,188
310,Manhattan,110,13,38,Medium,0
312,Brooklyn,195,4,59,Medium,71
313,Brooklyn,169,1,68,Medium,215
314,Manhattan,113,14,26,Medium,253
315,Manhattan,250,14,31,Medium,78
316,Queens,115,2,198,Medium,257
319,Manhattan,150,3,286,Medium,191
320,Brooklyn,169,2,398,Medium,182
321,Brooklyn,179,3,36,Medium,79
322,Manhattan,150,3,36,Medium,49
324,Brooklyn,350,6,14,High,156
325,Brooklyn,120,14,76,Medium,343
329,Brooklyn,165,30,34,Medium,189
332,Brooklyn,200,3,80,Medium,106
333,Manhattan,169,4,240,Medium,276
334,Brooklyn,185,3,46,Medium,248
338,Manhattan,225,2,33,Medium,0
339,Brooklyn,179,3,13,Medium,81
341,Manhattan,139,1,388,Medium,142
344,Manhattan,150,2,151,Medium,52
347,Brooklyn,120,2,75,Medium,237
350,Brooklyn,175,2,370,Medium,204
351,Brooklyn,120,5,104,Medium,272
352,Brooklyn,140,7,13,Medium,0
354,Brooklyn,165,4,11,Medium,365
356,Manhattan,130,30,19,Medium,189
358,Brooklyn,123,30,15,Medium,189
361,Brooklyn,130,7,98,Medium,35
363,Manhattan,212,21,45,Medium,35
364,Brooklyn,190,3,124,Medium,359
366,Manhattan,249,5,166,Medium,365
370,Brooklyn,135,2,86,Medium,102
371,Brooklyn,175,3,248,Medium,274
372,Manhattan,120,5,49,Medium,201
373,Manhattan,169,18,54,Medium,98
376,Manhattan,225,2,56,Medium,312
380,Brooklyn,199,14,27,Medium,223
381,Manhattan,211,1,52,Medium,361
382,Manhattan,145,6,39,Medium,0
385,Queens,110,4,30,Medium,363
387,Brooklyn,150,30,95,Medium,281
388,Brooklyn,110,4,70,Medium,283
389,Manhattan,290,2,35,Medium,20
391,Brooklyn,190,4,50,Medium,331
392,Brooklyn,200,2,29,Medium,36
393,Brooklyn,165,2,23,Medium,7
394,Manhattan,110,2,142,Medium,301
395,Manhattan,395,2,70,High,170
398,Manhattan,189,2,403,Medium,201
401,Manhattan,122,1,116,Medium,271
402,Brooklyn,165,2,175,Medium,139
404,Manhattan,170,4,24,Medium,0
405,Brooklyn,125,2,15,Medium,0
406,Manhattan,130,4,105,Medium,193
407,Brooklyn,225,10,22,Medium,52
409,Brooklyn,170,3,86,Medium,286
411,Brooklyn,250,7,18,Medium,18
414,Brooklyn,249,3,150,Medium,277
416,Manhattan,185,2,69,Medium,233
417,Brooklyn,120,3,232,Medium,221
418,Brooklyn,495,1,35,High,355
419,Manhattan,375,3,18,High,0
420,Manhattan,175,3,68,Medium,277
421,Manhattan,150,4,22,Medium,0
422,Manhattan,259,8,17,Medium,343
427,Brooklyn,250,4,52,Medium,188
428,Manhattan,295,2,74,Medium,264
429,Manhattan,175,3,18,Medium,0
430,Brooklyn,451,2,72,High,331
431,Manhattan,165,2,191,Medium,236
434,Manhattan,250,4,19,Medium,0
435,Queens,129,1,414,Medium,245
440,Manhattan,300,2,203,High,258
442,Brooklyn,125,2,104,Medium,22
443,Manhattan,175,3,175,Medium,236
445,Brooklyn,255,45,39,Medium,89
447,Brooklyn,165,1,27,Medium,311
448,Brooklyn,165,5,117,Medium,23
451,Brooklyn,139,2,385,Medium,222
454,Manhattan,150,2,37,Medium,0
456,Manhattan,200,2,103,Medium,235
459,Manhattan,295,3,227,Medium,247
460,Brooklyn,450,5,37,High,15
461,Brooklyn,130,2,29,Medium,119
463,Manhattan,198,5,42,Medium,234
466,Manhattan,140,2,54,Medium,221
470,Manhattan,250,31,188,Medium,259
477,Manhattan,185,2,129,Medium,14
478,Manhattan,190,3,147,Medium,27
479,Brooklyn,105,28,101,Medium,167
480,Manhattan,250,2,11,Medium,68
481,Manhattan,175,65,11,Medium,358
489,Manhattan,170,2,17,Medium,88
494,Manhattan,400,2,105,High,304
495,Brooklyn,150,2,11,Medium,0
496,Manhattan,2000,30,30,High,0
499,Brooklyn,179,4,23,Medium,25
500,Brooklyn,500,2,20,High,127
501,Manhattan,429,10,18,High,0
502,Manhattan,189,6,90,Medium,303
503,Manhattan,120,2,99,Medium,345
505,Queens,107,30,21,Medium,200
507,Manhattan,199,2,111,Medium,12
508,Manhattan,120,2,86,Medium,268
509,Manhattan,199,15,66,Medium,89
510,Bronx,125,2,271,Medium,347
517,Brooklyn,170,3,67,Medium,129
518,Manhattan,165,1,63,Medium,0
521,Brooklyn,169,3,177,Medium,297
523,Manhattan,169,7,39,Medium,44
524,Brooklyn,160,3,42,Medium,355
525,Brooklyn,215,3,33,Medium,156
526,Brooklyn,130,3,179,Medium,273
527,Manhattan,110,3,81,Medium,274
528,Manhattan,150,28,43,Medium,258
531,Manhattan,149,6,23,Medium,0
537,Brooklyn,139,3,83,Medium,255
538,Brooklyn,105,1,211,Medium,252
539,Brooklyn,265,5,15,Medium,0
540,Manhattan,149,1,122,Medium,20
546,Manhattan,160,30,25,Medium,46
547,Brooklyn,190,4,105,Medium,328
550,Brooklyn,248,2,58,Medium,199
553,Manhattan,150,1,330,Medium,111
554,Brooklyn,145,3,123,Medium,287
556,Brooklyn,120,4,87,Medium,263
559,Brooklyn,195,14,31,Medium,263
561,Brooklyn,185,3,14,Medium,0
562,Brooklyn,145,3,30,Medium,11
564,Brooklyn,185,3,228,Medium,1
565,Manhattan,250,1,60,Medium,0
567,Manhattan,230,2,179,Medium,44
570,Manhattan,200,30,25,Medium,0
574,Manhattan,300,2,45,High,31
577,Brooklyn,110,1,24,Medium,183
579,Manhattan,199,1,29,Medium,162
580,Manhattan,199,1,14,Medium,158
584,Manhattan,146,3,142,Medium,166
586,Brooklyn,116,29,22,Medium,335
587,Manhattan,150,3,82,Medium,90
588,Brooklyn,120,2,23,Medium,342
589,Manhattan,199,4,32,Medium,28
590,Brooklyn,150,5,24,Medium,363
593,Brooklyn,230,4,18,Medium,0
596,Brooklyn,130,3,154,Medium,305
597,Brooklyn,239,1,164,Medium,356
599,Brooklyn,220,3,116,Medium,135
601,Manhattan,288,2,120,Medium,229
602,Brooklyn,135,4,82,Medium,273
603,Manhattan,225,3,13,Medium,83
604,Manhattan,110,30,59,Medium,281
606,Manhattan,130,2,52,Medium,303
611,Manhattan,135,28,115,Medium,341
614,Brooklyn,110,3,305,Medium,231
615,Manhattan,145,1,102,Medium,308
616,Manhattan,179,30,83,Medium,292
618,Manhattan,110,2,61,Medium,264
619,Manhattan,325,5,89,High,153
621,Brooklyn,300,1,40,High,0
622,Manhattan,130,30,80,Medium,332
623,Manhattan,190,30,136,Medium,120
624,Manhattan,200,3,100,Medium,191
625,Brooklyn,180,2,125,Medium,248
626,Brooklyn,350,5,40,High,67
628,Manhattan,195,30,139,Medium,325
637,Brooklyn,438,1,43,High,363
639,Manhattan,200,2,37,Medium,257
640,Brooklyn,279,1,120,Medium,362
641,Brooklyn,137,1,24,Medium,0
643,Brooklyn,199,30,242,Medium,102
646,Brooklyn,180,2,181,Medium,280
647,Manhattan,226,5,34,Medium,302
651,Manhattan,154,1,238,Medium,246
652,Brooklyn,199,3,34,Medium,60
653,Manhattan,700,3,131,High,296
657,Brooklyn,295,5,125,Medium,0
659,Manhattan,119,1,49,Medium,0
660,Manhattan,125,1,11,Medium,365
662,Manhattan,850,3,107,High,249
663,Brooklyn,129,2,241,Medium,303
664,Manhattan,140,1,176,Medium,300
665,Manhattan,115,4,151,Medium,323
666,Manhattan,200,3,49,Medium,0
668,Brooklyn,199,3,33,Medium,60
669,Brooklyn,199,3,24,Medium,84
670,Brooklyn,199,3,59,Medium,60
672,Manhattan,185,2,16,Medium,261
674,Brooklyn,199,3,24,Medium,60
675,Brooklyn,199,3,23,Medium,60
676,Brooklyn,199,3,43,Medium,60
677,Brooklyn,199,3,30,Medium,56
678,Brooklyn,199,3,39,Medium,84
686,Brooklyn,220,2,178,Medium,297
688,Brooklyn,170,2,190,Medium,315
689,Manhattan,495,7,25,High,338
693,Brooklyn,125,30,31,Medium,218
696,Brooklyn,154,3,233,Medium,0
697,Brooklyn,139,3,135,Medium,204
699,Manhattan,325,4,46,High,20
702,Staten Island,250,2,21,Medium,333
706,Manhattan,189,2,314,Medium,206
707,Brooklyn,130,3,18,Medium,1
708,Manhattan,145,7,11,Medium,0
709,Manhattan,101,7,51,Medium,307
712,Manhattan,153,31,59,Medium,27
715,Manhattan,300,4,153,High,246
716,Brooklyn,145,3,110,Medium,15
719,Brooklyn,185,180,24,Medium,0
721,Manhattan,225,2,129,Medium,107
726,Manhattan,485,7,11,High,0
729,Manhattan,109,30,36,Medium,286
730,Manhattan,167,30,16,Medium,252
733,Manhattan,195,4,68,Medium,271
734,Manhattan,199,28,89,Medium,0
740,Manhattan,130,2,35,Medium,41
742,Manhattan,350,3,64,High,18
748,Manhattan,250,3,24,Medium,16
749,Brooklyn,190,1,30,Medium,365
754,Manhattan,125,365,19,Medium,365
756,Manhattan,150,2,203,Medium,300
758,Manhattan,299,3,49,Medium,365
762,Manhattan,1300,5,28,High,297
765,Brooklyn,110,3,115,Medium,28
768,Brooklyn,165,3,204,Medium,80
770,Brooklyn,402,3,89,High,340
773,Manhattan,139,30,52,Medium,314
780,Brooklyn,800,4,122,High,257
782,Brooklyn,250,5,26,Medium,0
784,Brooklyn,140,5,14,Medium,0
785,Manhattan,130,1,107,Medium,304
790,Brooklyn,125,3,232,Medium,303
792,Manhattan,180,7,24,Medium,125
797,Manhattan,240,5,94,Medium,134
799,Manhattan,385,1,63,High,364
801,Brooklyn,110,3,238,Medium,297
804,Manhattan,165,2,72,Medium,10
805,Brooklyn,300,2,40,High,0
806,Brooklyn,140,3,103,Medium,189
807,Brooklyn,120,6,66,Medium,17
808,Brooklyn,175,3,35,Medium,289
809,Brooklyn,275,31,121,Medium,305
810,Manhattan,179,8,15,Medium,0
811,Brooklyn,189,2,13,Medium,0
812,Manhattan,219,2,129,Medium,220
813,Manhattan,450,20,157,High,0
816,Brooklyn,250,4,46,Medium,121
817,Manhattan,139,30,37,Medium,153
818,Manhattan,209,7,14,Medium,205
819,Brooklyn,120,5,37,Medium,310
826,Brooklyn,157,4,54,Medium,12
827,Brooklyn,199,3,43,Medium,84
829,Brooklyn,199,3,75,Medium,84
830,Manhattan,150,1,88,Medium,0
831,Brooklyn,199,3,73,Medium,56
832,Brooklyn,199,3,89,Medium,62
833,Brooklyn,199,3,23,Medium,81
834,Brooklyn,105,3,11,Medium,0
835,Brooklyn,135,28,84,Medium,310
836,Brooklyn,199,3,54,Medium,60
837,Brooklyn,125,3,17,Medium,0
840,Manhattan,300,3,36,High,29
848,Brooklyn,130,14,23,Medium,25
852,Manhattan,250,5,152,Medium,109
855,Manhattan,140,2,44,Medium,260
857,Manhattan,150,7,12,Medium,0
860,Manhattan,150,2,11,Medium,2
861,Brooklyn,180,3,236,Medium,242
862,Brooklyn,135,3,16,Medium,0
865,Brooklyn,149,14,65,Medium,364
870,Manhattan,109,30,18,Medium,285
877,Brooklyn,135,2,39,Medium,293
878,Manhattan,199,14,65,Medium,155
880,Manhattan,110,3,47,Medium,248
881,Brooklyn,120,2,42,Medium,238
885,Manhattan,135,30,25,Medium,249
886,Brooklyn,185,2,215,Medium,291
887,Brooklyn,225,4,26,Medium,0
888,Manhattan,245,5,18,Medium,0
889,Manhattan,115,3,18,Medium,31
890,Brooklyn,325,2,320,High,0
892,Manhattan,120,2,78,Medium,0
893,Manhattan,499,30,64,High,157
895,Manhattan,109,1,66,Medium,353
896,Brooklyn,160,3,25,Medium,0
897,Manhattan,219,4,102,Medium,280
898,Manhattan,159,2,32,Medium,7
899,Brooklyn,180,3,15,Medium,266
901,Manhattan,106,3,12,Medium,271
902,Manhattan,299,10,19,Medium,101
903,Manhattan,179,3,297,Medium,205
904,Brooklyn,165,3,12,Medium,343
910,Brooklyn,200,30,53,Medium,0
912,Brooklyn,115,3,64,Medium,333
913,Brooklyn,115,3,51,Medium,327
914,Brooklyn,120,3,79,Medium,349
915,Manhattan,125,3,202,Medium,217
916,Manhattan,387,1,23,High,0
919,Manhattan,121,1,16,Medium,351
920,Manhattan,350,4,24,High,362
928,Manhattan,140,1,53,Medium,0
929,Manhattan,189,3,265,Medium,355
932,Brooklyn,145,14,46,Medium,38
934,Manhattan,265,4,75,Medium,324
937,Manhattan,129,3,132,Medium,171
938,Manhattan,199,6,41,Medium,36
940,Brooklyn,185,3,34,Medium,0
941,Manhattan,110,7,27,Medium,192
943,Manhattan,135,3,214,Medium,167
944,Manhattan,115,30,12,Medium,0
953,Manhattan,549,30,58,High,200
955,Brooklyn,129,3,63,Medium,87
958,Manhattan,145,3,22,Medium,0
959,Manhattan,200,7,13,Medium,327
960,Brooklyn,125,4,23,Medium,262
963,Manhattan,180,3,14,Medium,348
966,Bronx,120,2,47,Medium,318
968,Manhattan,105,7,93,Medium,70
969,Manhattan,250,3,116,Medium,0
971,Manhattan,165,2,70,Medium,15
973,Manhattan,125,30,128,Medium,0
976,Brooklyn,159,2,106,Medium,34
978,Manhattan,104,2,133,Medium,147
979,Manhattan,225,4,27,Medium,169
984,Manhattan,135,5,38,Medium,253
985,Manhattan,125,1,25,Medium,311
986,Manhattan,225,3,93,Medium,0
988,Manhattan,200,7,30,Medium,224
989,Brooklyn,250,3,17,Medium,5
991,Brooklyn,130,30,53,Medium,0
993,Brooklyn,298,30,131,Medium,296
994,Manhattan,300,4,19,High,84
996,Manhattan,125,3,74,Medium,212
997,Manhattan,145,3,165,Medium,181
998,Manhattan,147,2,16,Medium,0
999,Brooklyn,123,3,269,Medium,158
1001,Queens,215,2,59,Medium,335
1002,Manhattan,225,3,134,Medium,231
1003,Manhattan,269,28,81,Medium,122
1007,Brooklyn,229,2,92,Medium,321
1008,Brooklyn,300,29,23,High,312
1011,Manhattan,225,2,244,Medium,252
1012,Brooklyn,120,6,62,Medium,15
1013,Brooklyn,160,5,125,Medium,169
1014,Brooklyn,125,30,58,Medium,212
1016,Brooklyn,119,3,137,Medium,296
1017,Manhattan,275,2,16,Medium,167
1018,Manhattan,160,1,36,Medium,365
1019,Brooklyn,500,1,54,High,365
1022,Brooklyn,160,1,145,Medium,257
1023,Manhattan,125,3,28,Medium,364
1026,Brooklyn,250,15,37,Medium,54
1028,Manhattan,325,30,18,High,364
1030,Manhattan,325,2,197,High,207
1037,Manhattan,275,3,50,Medium,277
1039,Brooklyn,125,4,41,Medium,10
1040,Brooklyn,150,20,89,Medium,247
1042,Brooklyn,138,3,106,Medium,189
1043,Manhattan,265,4,33,Medium,0
1045,Manhattan,151,88,19,Medium,249
1046,Manhattan,208,6,100,Medium,310
1047,Brooklyn,200,3,16,Medium,291
1048,Manhattan,110,2,64,Medium,74
1051,Brooklyn,105,115,15,Medium,219
1053,Brooklyn,150,3,87,Medium,73
1058,Manhattan,395,14,39,High,50
1071,Manhattan,250,3,73,Medium,284
1075,Brooklyn,142,3,120,Medium,222
1078,Manhattan,225,4,13,Medium,195
1082,Manhattan,239,2,67,Medium,78
1085,Manhattan,139,4,23,Medium,0
1086,Manhattan,174,2,269,Medium,167
1089,Manhattan,210,1,178,Medium,0
1091,Brooklyn,229,3,12,Medium,319
1092,Manhattan,150,2,23,Medium,0
1093,Manhattan,129,2,47,Medium,177
1095,Brooklyn,200,3,17,Medium,67
1097,Brooklyn,250,90,19,Medium,311
1100,Brooklyn,235,3,108,Medium,144
1102,Manhattan,311,3,31,High,28
1106,Manhattan,210,1,230,Medium,319
1109,Brooklyn,165,30,154,Medium,157
1113,Brooklyn,110,4,12,Medium,330
1114,Manhattan,180,5,13,Medium,0
1124,Manhattan,155,6,17,Medium,0
1127,Manhattan,135,3,134,Medium,236
1129,Manhattan,380,3,16,High,0
1130,Brooklyn,450,2,31,High,30
1131,Brooklyn,145,30,36,Medium,342
1133,Brooklyn,225,2,338,Medium,225
1135,Manhattan,125,1,261,Medium,212
1139,Manhattan,328,2,319,High,112
1140,Brooklyn,142,7,69,Medium,261
1142,Brooklyn,300,2,24,High,23
1144,Brooklyn,125,31,17,Medium,331
1145,Brooklyn,225,7,13,Medium,0
1147,Manhattan,185,2,62,Medium,0
1148,Brooklyn,226,3,203,Medium,38
1154,Brooklyn,102,2,121,Medium,361
1155,Brooklyn,220,3,27,Medium,68
1156,Manhattan,199,3,24,Medium,0
1157,Manhattan,165,5,22,Medium,316
1158,Manhattan,150,2,162,Medium,231
1159,Brooklyn,385,1,66,High,363
1161,Manhattan,499,2,63,High,26
1164,Brooklyn,249,3,12,Medium,26
1166,Brooklyn,120,1,124,Medium,292
1168,Brooklyn,169,4,63,Medium,323
1169,Manhattan,220,4,162,Medium,341
1177,Brooklyn,325,3,116,High,203
1181,Brooklyn,175,2,15,Medium,64
1182,Manhattan,130,4,22,Medium,77
1183,Manhattan,180,3,18,Medium,0
1184,Brooklyn,209,3,56,Medium,160
1186,Manhattan,104,3,57,Medium,6
1187,Manhattan,175,4,13,Medium,0
1191,Queens,107,30,24,Medium,262
1192,Manhattan,150,7,19,Medium,24
1195,Brooklyn,349,1,169,High,344
1196,Manhattan,185,2,165,Medium,259
1200,Manhattan,160,1,15,Medium,0
1201,Brooklyn,800,3,60,High,67
1202,Brooklyn,349,2,320,High,260
1203,Queens,350,2,182,High,272
1205,Brooklyn,350,2,134,High,56
1208,Manhattan,200,1,60,Medium,260
1216,Brooklyn,250,30,62,Medium,292
1224,Manhattan,170,2,183,Medium,254
1225,Brooklyn,375,5,19,High,43
1226,Manhattan,118,3,141,Medium,13
1227,Manhattan,135,6,42,Medium,170
1228,Bronx,250,3,119,Medium,339
1229,Brooklyn,200,7,20,Medium,365
1234,Manhattan,265,3,26,Medium,341
1239,Manhattan,220,3,194,Medium,338
1242,Queens,109,30,304,Medium,0
1243,Brooklyn,450,2,11,High,0
1244,Manhattan,165,30,19,Medium,259
1246,Manhattan,295,5,103,Medium,350
1247,Brooklyn,280,7,82,Medium,41
1248,Manhattan,300,30,92,High,106
1250,Brooklyn,175,3,18,Medium,0
1251,Manhattan,225,4,153,Medium,205
1254,Manhattan,102,3,36,Medium,21
1256,Manhattan,195,2,160,Medium,68
1257,Queens,150,3,74,Medium,365
1258,Manhattan,170,1,47,Medium,17
1259,Manhattan,217,2,43,Medium,0
1260,Manhattan,185,1,102,Medium,91
1262,Brooklyn,189,4,33,Medium,1
1264,Manhattan,195,3,22,Medium,59
1265,Queens,110,5,107,Medium,276
1268,Manhattan,110,10,16,Medium,0
1273,Manhattan,500,2,63,High,79
1275,Brooklyn,135,3,28,Medium,211
1278,Manhattan,160,4,16,Medium,0
1280,Manhattan,210,3,25,Medium,347
1281,Manhattan,399,3,15,High,0
1282,Manhattan,300,1,45,High,111
1283,Brooklyn,185,1,215,Medium,348
1284,Manhattan,220,3,33,Medium,174
1285,Brooklyn,121,2,46,Medium,0
1286,Manhattan,120,10,25,Medium,129
1287,Brooklyn,152,2,23,Medium,365
1288,Brooklyn,250,2,57,Medium,25
1290,Brooklyn,104,11,22,Medium,0
1291,Brooklyn,120,5,40,Medium,0
1292,Manhattan,295,3,85,Medium,261
1294,Manhattan,197,14,29,Medium,0
1297,Manhattan,125,2,42,Medium,172
1298,Manhattan,190,1,195,Medium,69
1301,Manhattan,107,1,115,Medium,85
1304,Brooklyn,110,90,32,Medium,330
1306,Manhattan,151,2,214,Medium,256
1307,Brooklyn,130,2,11,Medium,0
1308,Brooklyn,180,2,221,Medium,264
1312,Brooklyn,133,4,104,Medium,338
1313,Manhattan,120,30,18,Medium,337
1314,Brooklyn,120,2,143,Medium,102
1316,Manhattan,165,3,25,Medium,0
1325,Brooklyn,155,30,63,Medium,249
1326,Brooklyn,150,2,28,Medium,72
1330,Brooklyn,115,4,61,Medium,15
1332,Manhattan,120,2,67,Medium,179
1333,Manhattan,215,30,110,Medium,332
1334,Brooklyn,195,2,160,Medium,255
1335,Brooklyn,175,3,102,Medium,215
1338,Manhattan,200,7,34,Medium,217
1341,Manhattan,199,60,11,Medium,281
1344,Manhattan,125,1,132,Medium,365
1345,Manhattan,229,1,62,Medium,36
1347,Brooklyn,140,3,16,Medium,0
1350,Manhattan,110,7,12,Medium,0
1351,Manhattan,165,1,321,Medium,185
1355,Manhattan,275,6,61,Medium,69
1359,Brooklyn,129,1,109,Medium,261
1361,Brooklyn,120,4,14,Medium,0
1362,Brooklyn,500,2,250,High,307
1363,Manhattan,179,4,12,Medium,11
1364,Brooklyn,149,2,20,Medium,4
1365,Brooklyn,180,14,27,Medium,312
1368,Brooklyn,128,5,38,Medium,20
1372,Manhattan,200,2,17,Medium,0
1373,Manhattan,249,3,35,Medium,38
1374,Brooklyn,300,30,63,High,365
1375,Manhattan,120,7,149,Medium,16
1376,Manhattan,120,20,107,Medium,144
1379,Brooklyn,115,3,54,Medium,3
1380,Brooklyn,275,31,17,Medium,364
1381,Brooklyn,198,2,103,Medium,299
1382,Manhattan,199,3,243,Medium,142
1384,Manhattan,125,3,93,Medium,58
1389,Brooklyn,250,3,25,Medium,188
1391,Brooklyn,200,4,11,Medium,0
1399,Manhattan,136,2,15,Medium,6
1401,Brooklyn,125,4,40,Medium,29
1402,Manhattan,165,7,57,Medium,32
1405,Manhattan,148,4,57,Medium,0
1406,Brooklyn,120,3,22,Medium,189
1408,Manhattan,175,1,17,Medium,0
1411,Brooklyn,119,2,85,Medium,338
1413,Manhattan,195,2,13,Medium,0
1414,Manhattan,1000,30,44,High,364
